Supplementary Materials: Binding data for rapamycin regulatory network																
ORF	Gene name	Description	Binding p-values													
			DAL80 Rapamycin	DAL81 Rapamycin	DAL82 Rapamycin	FHL1 Rapamycin	GCN4 Rapamycin	UGA3 Rapamycin	RTG1 Rapamycin	RTG3 Rapamycin	MSN2 Rapamycin	MSN4 Rapamycin	GAT1 Rapamycin	HAP2 Rapamycin	GLN3 Rapamycin	GZF3 Rapamycin
YLL021W	SPA2	involved in cell polarity	0.896	0.939	0.961	0.798	0.825	0.719	0.757	0.921	0.887	0.835	0.909	0.922	0.881	0.782
YLL022C	HIF1	HAT1 Interacting Factor 1	0.896	0.939	0.961	0.798	0.825	0.719	0.757	0.921	0.887	0.835	0.909	0.922	0.881	0.782
YLL023C	YLL023C	similarity to hypothetical protein YLR064w	0.594	0.55	0.872	0.752	0.695	0.751	0.368	0.269	0.521	0.445	0.823	0.957	0.844	0.715
YLL024C	SSA2	"heat shock protein of HSP70 family, cytosolic"	0.786	0.721	0.8	0.666	0.784	0.89	0.67	0.736	0.724	0.699	0.81	NaN	0.813	0.761
YLL025W	YLL025W	strong similarity to members of the SRP1P/TIP1P family	0.66	0.065	0.081	0.131	0.38	0.659	0.805	0.412	0.695	0.668	0.187	NaN	0.199	0.83
YLL026W	HSP104	heat shock protein	0.483	0.862	0.753	0.27	0.712	0.855	0.642	0.629	0.779	0.463	0.874	0.868	0.787	0.703
YLL027W	ISA1	mitochondrial protein required for normal iron metabolism	0.917	0.985	0.995	0.976	0.899	0.999	0.983	0.968	0.989	0.985	0.997	0.999	0.994	0.996
YLL028W	TPO1	polyamine transport protein	0.886	0.969	0.961	0.935	0.924	0.997	0.947	0.967	0.961	0.955	0.989	0.982	0.994	0.936
YLL029W	YLL029W	similarity to M.jannaschii X-Pro dipeptidase and S.pombe hypothetical protein	0.045	0.243	0.395	0.71	0.846	0.786	0.483	0.789	0.581	0.628	0.788	0.85	0.866	0.761
YLL030C	YLL030C	hypothetical protein	0.045	0.243	0.395	0.71	0.846	0.786	0.483	0.789	0.581	0.628	0.788	0.85	0.866	0.761
YLL031C	GPI13	protein involved in glycosylphosphatidylinositol biosynthesis	0.079	0.04	0.1	0.013	0.459	0.007	0.124	0.163	0.243	0.142	0.022	0.002	0.018	0.06
YLL032C	YLL032C	similarity to hypothetical protein SPAC9B6.13 S. pombe	0.418	0	0.358	0.212	0.036	0.326	0.485	0.003	0.585	0.483	0.045	0.18	0.002	0.464
YLL033W	YLL033W	hypothetical protein	0.049	0.026	0.21	0.018	0.361	0.169	0.399	0.161	0.29	0.168	0.026	0.106	0.052	0.515
YLL034C	YLL034C	similarity to mammalian valosin	0.049	0.026	0.21	0.018	0.361	0.169	0.399	0.161	0.29	0.168	0.026	0.106	0.052	0.515
YLL035W	GRC3	similarity to S. pombe SPCC830.03 protein of unknown function	0.432	0.495	0.294	0.392	0.413	0.173	0.22	0.668	0.367	0.378	0.659	0.497	0.635	0.443
YLL036C	PRP19	non-snRNP sliceosome component required for DNA repair	0.432	0.495	0.294	0.392	0.413	0.173	0.22	0.668	0.367	0.378	0.659	0.497	0.635	0.443
YLL037W	YLL037W	weak similarity to human platelet-activating factor receptor	0.573	0.138	0.64	0.476	0.396	0.523	0.887	0.694	0.692	0.77	0.233	0.485	0.181	0.843
YLL038C	ENT4	weak similarity to YJR125c and YDL161w	0.432	0.495	0.294	0.392	0.413	0.173	0.22	0.668	0.367	0.378	0.659	0.497	0.635	0.443
YLL039C	UBI4	ubiquitin	0.573	0.138	0.64	0.476	0.396	0.523	0.887	0.694	0.692	0.77	0.233	0.485	0.181	0.843
YLL040C	VPS13	involved in regulating membrane traffic	0.133	0.005	0.024	0.079	0.21	0.003	0.046	0.021	0.011	0.012	0.002	0.002	0.004	0.029
YLL041C	SDH2	succinate dehydrogenase iron-sulfur protein subunit	0.353	0.731	0.438	0.82	0.862	0.592	0.789	0.552	0.823	0.87	0.735	0.17	0.802	0.649
YLL042C	APG10	protein-conjugating enzyme essential for autophagy	0.493	0.523	0.808	0.394	0.416	0.212	0.428	0.485	0.808	0.541	0.556	0.518	0.52	0.391
YLL043W	FPS1	glycerol channel protein	0.579	0.59	0.675	0	0.635	0.36	0.602	0.92	0.704	0.741	0.497	0.648	0.759	0.735
YLL044W	#REF!		0.861	0.951	0.96	0.556	0.881	0.227	0.846	0.907	0.815	0.876	0.797	0.816	0.822	0.613
YLL045C	RPL8B	60s large subunit ribosomal protein L7a.e.B	0.579	0.59	0.675	0	0.635	0.36	0.602	0.92	0.704	0.741	0.497	0.648	0.759	0.735
YLL046C	RNP1	ribonucleoprotein	0.861	0.951	0.96	0.556	0.881	0.227	0.846	0.907	0.815	0.876	0.797	0.816	0.822	0.613
YLL047W	#REF!		0.572	0.497	0.516	0.532	0.002	0.39	0.366	0.169	0.375	0.597	0.337	0.356	0.47	0.46
YLL048C	YBT1	yeast bile transporter	0.572	0.497	0.516	0.532	0.002	0.39	0.366	0.169	0.375	0.597	0.337	0.356	0.47	0.46
YLL049W	YLL049W	hypothetical protein	0.205	0.071	0.12	0.479	0.232	0.488	0.126	0.076	0.065	0.125	0.471	0.341	0.647	0.801
YLL050C	COF1	"cofilin, actin binding and severing protein"	0.205	0.071	0.12	0.479	0.232	0.488	0.126	0.076	0.065	0.125	0.471	0.341	0.647	0.801
YLL051C	FRE6	strong similarity to ferric reductase FRE2P	0.315	0.606	0.706	0.493	0.22	0.262	0.685	0.219	0.391	0.537	0.365	0.461	0.263	0.349
YLL052C	AQY2	strong similarity to AQY1	0.709	0.602	0.778	0.588	0.447	0.64	0.694	0.739	0.656	0.634	0.853	0.831	0.75	0.831
YLL053C	YLL053C	similarity to water channel proteins	0.709	0.602	0.778	0.588	0.447	0.64	0.694	0.739	0.656	0.634	0.853	0.831	0.75	0.831
YLL054C	YLL054C	similarity to transcription factor PIP2P	0.497	0.856	0.715	0.892	0.801	0.703	0.507	0.836	0.357	0.852	0.883	0.867	0.907	0.514
YLL055W	YLL055W	similarity to DAL5P	0.506	0.224	0.575	0.248	0.022	0.79	0.875	0.481	0.825	0.914	0.688	0.878	0.523	0.872
YLL056C	YLL056C	"weak similarity to Y.pseudotuberculosis CDP-3,6-dideoxy-D-glycero-L-glycero-4-hexulose-5-epimerase"	0.376	0.671	0.546	0.548	0.493	0.528	0.43	0.486	0.517	0.623	0.801	0.774	0.832	0.695
YLL057C	YLL057C	similarity to E.coli dioxygenase	0.248	0.898	0.524	0.512	0.547	0.396	0.434	0.706	0.567	0.497	0.774	0.46	0.486	0.311
YLL058W	YLL058W	similarity to N.crassa O-succinylhomoserine (thiol)-lyase	0.168	0.682	0.588	0.469	0.019	0.405	0.544	0.623	0.438	0.617	0.544	0.483	0.637	0.459
YLL059C	YLL059C	hypothetical protein	0.168	0.682	0.588	0.469	0.019	0.405	0.544	0.623	0.438	0.617	0.544	0.483	0.637	0.459
YLL060C	GTT2	glutathione S-transferase	0.533	0.61	0.56	0.811	0.599	0.796	0.767	0.876	0.728	0.806	0.863	0.656	0.821	0.809
YLL061W	MMP1	high affinity S-methylmethionine permease	0.172	0.478	0.044	0.497	0.721	0.283	0.315	0.536	0.222	0.315	0.687	0.446	0.662	0.332
YLL062C	MHT1	weak similarity to M.leprae metH2 protein	0.172	0.478	0.044	0.497	0.721	0.283	0.315	0.536	0.222	0.315	0.687	0.446	0.662	0.332
YLL063C	AYT1	strong similarity to Gibberella zeae trichothecene 3-O-acetyltransferase	0.137	0.626	0.053	0.762	0.681	0.642	0.37	0.38	0.248	0.362	0.712	0.552	0.716	0.311
YLL064C	YLL064C	strong similarity to members of the SRP1/TIP1P family	0.319	0.882	0.463	0.752	0.679	0.708	0.562	0.811	0.653	0.696	0.809	0.794	0.879	0.438
YLL065W	GIN11	"strong similarity to YJR162c, YNR077c, YKL225w and other subtelomeric encoded proteins"	0.032	0.59	0.073	0.609	0.113	0.001	0.996	0.899	0.947	0.061	0.848	0.963	0.442	0.001
YLL066C	YLL066C	strong similarity to subtelomeric encoded proteins	0.55	0.868	0.686	0.896	0.917	0.892	0.858	0.894	0.792	0.817	0.898	0.86	0.934	0.453
YLL067C	YLL067C	strong similarity to subtelomeric encoded proteins	0.52	0.978	0.764	0.722	0.67	0.793	0.682	0.902	0.73	0.718	0.868	0.909	0.888	0.409
YLR001C	YLR001C	weak similarity to hypothetical protein SPAC22H12.05c S. pombe	0.209	0.258	0.44	0.699	0.531	0.524	0.302	0.519	0.456	0.537	0.498	0.527	0.489	0.585
YLR002C	YLR002C	similarity to hypothetical C. elegans protein	0.322	0.359	0.337	0.644	0.538	0.08	0.482	0.415	0.278	0.488	0.169	0.131	0.199	0.082
YLR003C	YLR003C	weak similarity to PIR:T39953 hypothetical protein SPBC23G7.07c S. pombe	0.353	0.239	0.462	0.484	0.443	0.174	0.511	0.696	0.411	0.415	0.252	0.349	0.376	0.538
YLR004C	YLR004C	similarity to allantoate transport protein	0.811	0.89	0.704	0.498	0.817	0.382	0.34	0.869	0.451	0.604	0.707	0.504	0.785	0.325
YLR005W	SSL1	"TFIIH subunit (transcription initiation factor), factor B"	0.811	0.89	0.704	0.498	0.817	0.382	0.34	0.869	0.451	0.604	0.707	0.504	0.785	0.325
YLR006C	SSK1	two-component signal transducer	0.722	0.781	0.326	0.586	0.672	0.428	0.534	0.311	0.488	0.812	0.291	0.225	0.255	0.421
YLR007W	YLR007W	hypothetical protein	0.722	0.781	0.326	0.586	0.672	0.428	0.534	0.311	0.488	0.812	0.291	0.225	0.255	0.421
YLR008C	YLR008C	similarity to hypothetical protein YNL328c	0.493	0.651	0.591	0.708	0.68	0.382	0.348	0.712	0.499	0.7	0.611	0.684	0.708	0.406
YLR009W	YLR009W	similarity to ribosomal protein L24.e.B	0.493	0.651	0.591	0.708	0.68	0.382	0.348	0.712	0.499	0.7	0.611	0.684	0.708	0.406
YLR010C	YLR010C	weak similarity to Aquifex aeolicus adenylosuccinate synthetase	0.612	0.658	0.475	0.925	0.717	0.942	0.305	0.26	0.076	0.184	0.848	0.928	0.815	0.877
YLR011W	LOT6	weak similarity to E.coli hypothetical 20.4 kDa protein	NaN	0.013	0.096	0.304	0.427	0.066	0.187	0.193	0.086	0.017	0.002	0.005	0.009	0.018
YLR012C	YLR012C	hypothetical protein	0.159	0.616	0.54	0.409	0.613	0.713	0.513	0.882	0.811	0.509	0.906	0.733	0.888	0.478
YLR013W	GAT3	weak similarity to nitrogen regulatory proteins	0.159	0.616	0.54	0.409	0.613	0.713	0.513	0.882	0.811	0.509	0.906	0.733	0.888	0.478
YLR014C	PPR1	transcription factor regulating pyrimidine pathway	0.207	0.183	NaN	0.49	0.67	0.338	0.416	0.421	0.452	0.435	0.136	0.329	0.233	0.409
YLR015W	BRE2	weak similarity to S.pombe hypothetical protein SPBC13G1	0.207	0.183	NaN	0.49	0.67	0.338	0.416	0.421	0.452	0.435	0.136	0.329	0.233	0.409
YLR016C	YLR016C	"weak similarity to TRCDSEMBLNEW:AK022615_1 unnamed ORF;,Homo sapiens"	0.633	0.568	NaN	0.717	0.811	0.803	0.608	0.801	0.53	0.793	0.63	0.694	0.494	0.451
YLR017W	MEU1	multiple enhancer of UAS2	0.633	0.568	NaN	0.717	0.811	0.803	0.608	0.801	0.53	0.793	0.63	0.694	0.494	0.451
YLR018C	POM34	component of nuclear pore complex (nucleoporin)	0.389	0.582	0.706	0.65	0.672	0.911	0.598	0.501	0.808	0.658	0.929	0.791	0.931	0.682
YLR019W	PSR2	plasma membrane phosphatase required for sodium stress response	0.389	0.582	0.706	0.65	0.672	0.911	0.598	0.501	0.808	0.658	0.929	0.791	0.931	0.682
YLR020C	YLR020C	similarity to triacylglycerol lipase	0.557	0.733	0.901	0.621	0.529	0.779	0.79	0.79	0.889	0.773	0.833	0.858	0.441	0.414
YLR021W	YLR021W	hypothetical protein	0.557	0.733	0.901	0.621	0.529	0.779	0.79	0.79	0.889	0.773	0.833	0.858	0.441	0.414
YLR022C	YLR022C	similarity to C.elegans and M.jannaschii hypothetical proteins	0.376	0.057	0.137	0.072	0.389	0.066	0.652	0.291	0.534	0.163	0.021	0.12	0.038	0.007
YLR023C	YLR023C	similarity to S.pombe hypothetical protein SPAC30D11.11	0.809	0.872	0.415	0.358	0.388	0.538	0.837	0.453	0.703	0.45	0.005	0.198	0.003	0.002
YLR024C	UBR2	similarity to ubiquitin--protein ligase UBR1P	0.423	0.532	0.675	0.832	0.855	0.724	0.812	0.902	0.86	0.735	0.557	0.556	0.761	0.399
YLR025W	SNF7	class E Vps protein	0.423	0.532	0.675	0.832	0.855	0.724	0.812	0.902	0.86	0.735	0.557	0.556	0.761	0.399
YLR026C	SED5	syntaxin (T-SNARE)	0.77	0.785	0.865	0.835	0.673	0.827	0.546	0.863	0.809	0.769	0.83	0.658	0.838	0.397
YLR027C	AAT2	"aspartate aminotransferase, cytosolic"	0.978	0.998	0.942	0.971	0.871	0.992	0.894	0.863	0.867	0.924	0.996	0.999	0.991	0.964
YLR028C	ADE16	5-aminoimidazole-4-carboxamide ribotide transformylase	0.669	0.604	NaN	0.821	0.784	0.958	0.781	0.647	0.488	0.392	0.903	0.937	0.945	0.747
YLR029C	RPL15A	60s large subunit ribosomal protein L15.e.c12	0.556	0.914	NaN	0.943	0.715	0.824	0.3	0.282	0.228	0.595	0.877	0.871	0.84	0.763
YLR030W	YLR030W	hypothetical protein	0.556	0.914	NaN	0.943	0.715	0.824	0.3	0.282	0.228	0.595	0.877	0.871	0.84	0.763
YLR031W	YLR031W	similarity to hypothetical protein YMR124w	0.536	NaN	NaN	NaN	0.439	NaN	NaN	NaN	NaN	NaN	NaN	0.256	NaN	NaN
YLR032W	RAD5	DNA helicase	0.32	0.607	0.343	0.204	0.492	0.538	0.229	0.288	0.107	0.241	0.302	0.466	0.395	0.252
YLR033W	RSC58	hypothetical protein	0.121	0.057	0.153	0.201	0.454	0.038	0.191	0.314	0.303	0.197	0.12	0.083	0.211	0.102
YLR034C	SMF3	strong similarity to SMF2 protein and S.pombe hypothetical protein	0.801	0.652	0.834	0.654	0.475	0.745	0.464	0.773	0.761	0.707	0.489	0.639	0.746	0.559
YLR035C	MLH2	"similarity to human mutL protein homolog, mouse PMS2, MLH1P and PMS1P"	0.799	0.49	0.34	0.513	0.77	0.727	0.741	0.621	0.661	0.584	0.333	0.643	0.236	0.428
YLR035C-A	#REF!		0.484	0.757	0.748	0.823	0.685	0.32	0.374	0.127	0.339	0.429	0.479	0.335	0.386	0.257
YLR036C	YLR036C	similarity to YIL089w	0.472	0.617	NaN	0.312	0.048	0.405	0.386	0.398	0.288	0.506	0.772	0.711	0.807	0.605
YLR037C	DAN2	strong similarity to members of the SRP1P/TIP1P family	0.286	0.513	0.173	0.627	0.468	0.215	0.439	0.538	0.458	0.45	0.377	0.234	0.275	0.399
YLR038C	COX12	"cytochrome-c oxidase, subunit VIB"	0.19	0.581	0.519	0.509	0.648	0.232	0.213	0.479	0.198	0.32	0.38	0.259	0.404	0.102
YLR039C	RIC1	involved in transcription of ribosomal proteins and ribosomal RNA	0.242	0.842	0.57	0.615	0.535	0.457	0.298	0.292	0.592	0.559	0.813	0.619	0.872	0.665
YLR040C	YLR040C	weak similarity to hypothetical protein YIL011w	0.441	0.669	0.607	0.849	NaN	0.468	0.343	0.127	0.431	0.646	0.815	0.437	0.629	0.41
YLR041W	YLR041W	questionable ORF	0.242	0.842	0.57	0.615	0.535	0.457	0.298	0.292	0.592	0.559	0.813	0.619	0.872	0.665
YLR042C	YLR042C	hypothetical protein	0.534	0.463	0.77	0.843	0.675	0.54	0.71	0.708	0.447	0.451	0.769	0.803	0.498	0.826
YLR043C	TRX1	thioredoxin I	0.99	0.997	0.997	0.986	0.815	0.987	0.975	0.987	0.994	0.994	0.997	0.997	0.992	0.99
YLR044C	PDC1	"pyruvate decarboxylase, isozyme 1"	0.715	0.872	0.728	0.932	0.865	0.848	0.736	0.857	0.84	0.915	0.951	0.938	0.978	0.961
YLR045C	STU2	suppressor of a cs tubulin mutation	0.518	0.475	0.181	0.495	0.622	0.219	0.208	0.464	0.429	0.353	0.405	0.401	0.452	0.41
YLR046C	YLR046C	strong similarity to RTA1P and Rtm1p protein	0.568	0.195	0.623	0.495	0.361	0.018	0.346	0.378	0.428	0.209	0.033	0.01	0.125	0.204
YLR047C	YLR047C	similarity to hypothetical protein YGL160w	0.944	0.974	0.964	0.784	0	0.744	0.864	0.407	0.469	0.653	0.001	0.514	0.001	0.028
YLR048W	RPS0B	40S ribosomal protein p40 homolog B	0.944	0.974	0.964	0.784	0	0.744	0.864	0.407	0.469	0.653	0.001	0.514	0.001	0.028
YLR049C	YLR049C	hypothetical protein	0.577	0.065	NaN	0.449	0.001	0.077	0.576	0.004	0.143	0.549	0.002	0	0.002	0.113
YLR050C	YLR050C	weak similarity to human MAC30 C-terminus	0.447	0.118	0.404	0.865	0.535	0.495	0.208	0.232	0.637	0.819	NaN	NaN	0.703	0.353
YLR051C	YLR051C	similarity to human acidic 82 kDa protein	0.463	0.248	0.367	0.275	0.042	0.131	0.123	0.113	0.119	0.175	0.175	0.376	0.285	0.121
YLR052W	IES3	hypothetical protein	0.463	0.248	0.367	0.275	0.042	0.131	0.123	0.113	0.119	0.175	0.175	0.376	0.285	0.121
YLR053C	YLR053C	hypothetical protein	0.002	0.006	0.002	0.367	0.246	0.124	0.001	0.003	0	0.001	0.259	0.272	0.353	0.204
YLR054C	YLR054C	hypothetical protein	0.177	0.171	0.227	0.553	0.665	0.528	0.028	0.138	0.249	0.284	0.656	0.477	0.795	0.161
YLR055C	SPT8	transcriptional adaptor or co-activator	0.633	0.899	0.712	0.932	0.896	0.944	0.786	0.904	0.755	0.926	0.973	0.984	0.988	0.958
YLR056W	ERG3	C-5 sterol desaturase	0.633	0.899	0.712	0.932	0.896	0.944	0.786	0.904	0.755	0.926	0.973	0.984	0.988	0.958
YLR057W	YLR057W	weak similarity to mouse alpha-mannosidase	0.47	0.695	0.53	0.572	0.007	0.772	0.888	0.904	0.948	0.78	0.767	0.8	0.887	0.851
YLR058C	SHM2	"serine hydroxymethyltransferase, cytoplasmic"	0.406	0.468	0.627	0.061	0.012	0.916	0.599	0.045	0.939	0.76	0.647	0.845	0.742	0.905
YLR059C	REX2	putative 3'-5' exonuclease	0.754	0.934	0.926	0.491	0.759	0.852	0.832	0.888	0.905	0.916	0.948	0.865	0.9	0.853
YLR060W	FRS1	"phenylalanyl-tRNA synthetase, alpha subunit, cytosolic"	0.754	0.934	0.926	0.491	0.759	0.852	0.832	0.888	0.905	0.916	0.948	0.865	0.9	0.853
YLR061W	RPL22A	ribosomal protein	0.906	0.954	0.954	0	0.502	0.563	0.928	0.885	0.97	0.564	0.838	0.926	0.589	0.545
YLR062C	BUD28	questionable ORF	NaN	0.97	NaN	0.205	0.454	0.462	0.699	0.672	0.929	0.801	0.92	0.907	0.731	0.563
YLR063W	YLR063W	hypothetical protein	NaN	0.97	NaN	0.205	0.454	0.462	0.699	0.672	0.929	0.801	0.92	0.907	0.731	0.563
YLR064W	YLR064W	"weak similarity to Anopheles NADH-ubiquinone oxidoreductase, chain 4"	0.262	0.655	0.838	0.408	0.623	0.578	0.569	0.594	0.704	0.531	0.737	0.732	0.745	0.414
YLR065C	YLR065C	weak similarity to hypothetical protein A. thaliana	0.744	0.901	0.957	0.53	0.871	0.953	0.832	0.886	0.889	0.891	0.894	0.894	0.906	0.833
YLR066W	SPC3	signal peptidase subunit	0.744	0.901	0.957	0.53	0.871	0.953	0.832	0.886	0.889	0.891	0.894	0.894	0.906	0.833
YLR067C	PET309	required for stability and translation of COX1 mRNA	0.314	0.7	0.667	0.649	0.76	0.423	0.443	0.623	0.721	0.454	0.9	0.852	0.802	0.467
YLR068W	FYV7	hypothetical protein	0.314	0.7	0.667	0.649	0.76	0.423	0.443	0.623	0.721	0.454	0.9	0.852	0.802	0.467
YLR069C	MEF1	"translation elongation factor G, mitochondrial"	0.487	0.812	0.61	0.609	0.756	0.456	0.551	0.829	0.658	0.461	0.851	0.866	0.845	0.748
YLR070C	YLR070C	strong similarity to sugar dehydrogenases	0.726	0.858	0.833	0.603	0.55	0.783	0.764	0.488	0.858	0.773	0.88	0.732	0.839	0.449
YLR071C	RGR1	DNA-directed RNA polymerase II holoenzyme subunit	0.519	0.488	0.476	0.664	0.838	0.543	0.389	0.753	0.677	0.774	0.771	0.758	0.806	0.613
YLR072W	YLR072W	"similarity to YFL042c, YDR326c and YHR080c"	0.519	0.488	0.476	0.664	0.838	0.543	0.389	0.753	0.677	0.774	0.771	0.758	0.806	0.613
YLR073C	YLR073C	weak similarity to hypothetical protein S. pombe	0.818	0.985	0.919	0.062	0.85	0.823	0.528	0.882	0.88	0.911	0.832	0.944	0.916	0.794
YLR074C	BUD20	weak similarity to human zinc finger protein	0.537	0.784	0.786	0	0.425	0.919	0.756	0.787	0.747	0.744	0.87	0.967	0.815	0.851
YLR075W	RPL10	60S large subunit ribosomal protein	0.537	0.784	0.786	0	0.425	0.919	0.756	0.787	0.747	0.744	0.87	0.967	0.815	0.851
YLR076C	YLR076C	questionable ORF	0.96	0.995	0.985	0.86	0.972	0.981	0.975	0.99	0.992	0.978	0.992	0.985	0.99	0.965
YLR077W	YLR077W	weak similarity to Xenopus RCC1 protein	0.96	0.995	0.985	0.86	0.972	0.981	0.975	0.99	0.992	0.978	0.992	0.985	0.99	0.965
YLR078C	BOS1	secretory pathway protein	0.688	0.588	0.758	0.371	0.596	0.896	0.781	0.804	0.79	0.751	0.758	0.767	0.831	0.804
YLR079W	SIC1	p40 inhibitor of CDC28P-Clb protein kinase complex	0.688	0.588	0.758	0.371	0.596	0.896	0.781	0.804	0.79	0.751	0.758	0.767	0.831	0.804
YLR080W	YLR080W	strong similarity to EMP47P	0.754	0.533	0.512	0.134	0.177	0.208	0.325	0.292	0.267	0.279	0.172	0.309	0.121	0.315
YLR081W	GAL2	galactose (and glucose) permease	0.884	0.546	0.871	0.704	0.816	0.838	0.86	0.898	0.852	0.812	0.741	0.894	0.829	0.872
YLR082C	SRL2	weak similarity to phospholipase C	0	0.007	0	0.13	0.025	0.033	0.002	0.004	0.001	0.004	0.149	0.086	0.138	0.139
YLR083C	EMP70	endosomal protein	0.13	0.093	0.079	0.689	0.084	0.447	0.012	0.025	0.011	0.04	0.445	0.566	0.417	0.205
YLR084C	RAX2	weak similarity to PST1P	0.126	0.02	0.07	0.592	0.02	0.521	0.05	0.057	0.061	0.213	0.255	0.47	0.122	0.696
YLR085C	ARP6	Actin-related protein	0.141	0.515	0.156	0.788	0.685	0.32	0.23	0.461	0.288	0.232	0.683	0.375	0.475	0.349
YLR086W	SMC4	Stable Maintenance of Chromosomes	0.141	0.515	0.156	0.788	0.685	0.32	0.23	0.461	0.288	0.232	0.683	0.375	0.475	0.349
YLR087C	CSF1	weak similarity to hypothetical protein D. melanogaster	0.517	0.573	0.235	0.624	0.485	0.232	0.149	0.467	0.175	0.29	0.466	0.311	0.502	0.1
YLR088W	GAA1	required for attachment of GPI anchor onto proteins	0.517	0.573	0.235	0.624	0.485	0.232	0.149	0.467	0.175	0.29	0.466	0.311	0.502	0.1
YLR089C	YLR089C	strong similarity to alanine transaminases	0.448	0.001	0.18	0.151	0.189	0.133	0.572	0.147	0.222	0.258	0.03	0.063	0.023	0.388
YLR090W	XDJ1	similarity to E.coli dnaJ	0.448	0.001	0.18	0.151	0.189	0.133	0.572	0.147	0.222	0.258	0.03	0.063	0.023	0.388
YLR091W	YLR091W	hypothetical protein	0.462	0.769	0.938	0.867	0.778	0.605	0.814	0.837	0.806	0.903	0.791	0.625	0.608	0.779
YLR092W	SUL2	sulfate transporter	0.758	0.775	0.788	0.847	0.556	0.772	0.938	0.514	0.819	0.796	0.702	0.706	0.509	0.751
YLR093C	NYV1	"v-SNARE, vacuolar"	0.469	0.468	0.406	0.469	0.01	0.32	0.472	0.158	0.433	0.465	0.076	0.052	0.067	0.251
YLR094C	GIS3	hypothetical protein	0.809	0.004	0.118	0.763	0.792	0.308	0.824	0.801	0.778	0.856	0.593	0.636	0.514	0.925
YLR095C	IOC2	weak similarity to hypothetical protein C. elegans	0.56	0.631	0.827	0.755	0.494	0.438	0.349	0.844	0.756	0.754	0.821	0.56	0.657	0.762
YLR096W	KIN2	ser/thr protein kinase	0.56	0.631	0.827	0.755	0.494	0.438	0.349	0.844	0.756	0.754	0.821	0.56	0.657	0.762
YLR097C	YLR097C	weak similarity to H. sapiens F-box protein	0.16	0.408	0.386	0.537	0.68	0.217	0.138	0.465	0.186	0.193	0.347	0.263	0.391	0.25
YLR098C	CHA4	transcription factor	0.502	0.372	0.861	0.935	0.917	0.869	0.843	0.876	0.793	0.878	0.87	0.748	0.903	0.771
YLR099C	ICT1	similarity to YDR125c	0.462	0.186	0.471	0.591	0.138	0.585	0.765	0.75	0.462	0.801	0.445	0.371	0.42	0.889
YLR100W	ERG27	3-keto sterol reductase	0.462	0.186	0.471	0.591	0.138	0.585	0.765	0.75	0.462	0.801	0.445	0.371	0.42	0.889
YLR101C	YLR101C	questionable ORF	0.451	0.632	0.688	0.865	0.814	0.513	0.7	0.669	0.719	0.515	0.726	0.543	0.702	0.398
YLR102C	APC9	subunit of the Anaphase Promoting Complex	0.451	0.632	0.688	0.865	0.814	0.513	0.7	0.669	0.719	0.515	0.726	0.543	0.702	0.398
YLR103C	CDC45	required for minichromosome maintenance and initiation of chromosomal DNA replication	0.177	0.224	0.222	0.795	0.54	0.459	0.64	0.418	0.385	0.534	0.398	0.123	0.335	0.313
YLR104W	YLR104W	hypothetical protein	0.177	0.224	0.222	0.795	0.54	0.459	0.64	0.418	0.385	0.534	0.398	0.123	0.335	0.313
YLR105C	SEN2	tRNA splicing endonuclease beta subunit	0.144	0.294	0.139	0.3	0.51	0.056	0.151	0.348	0.158	0.264	0.094	0.127	0.168	0.312
YLR106C	YLR106C	similarity to Kaposi's sarcoma-associated herpes-like virus ORF73 homolog gene	0.015	0.03	0.005	0.269	0.39	0.048	0.051	0.043	0.021	0.032	0.075	0.048	0.186	0.112
YLR107W	REX3	"RNA exonuclease, member of the family of 3' -5' exonucleases"	0.015	0.03	0.005	0.269	0.39	0.048	0.051	0.043	0.021	0.032	0.075	0.048	0.186	0.112
YLR108C	YLR108C	strong similarity to YDR132c	0.876	0.058	0.872	0.865	0.237	0.963	0.939	0.431	0.512	0.658	0.65	0.969	0.678	0.992
YLR109W	AHP1	Alkyl hydroperoxide reductase	0.876	0.058	0.872	0.865	0.237	0.963	0.939	0.431	0.512	0.658	0.65	0.969	0.678	0.992
YLR110C	CCW12	strong similarity to FLO1P	0.964	0.091	NaN	0.831	0.941	0.975	0.996	0.795	0.968	0.934	0.45	0.769	0.333	0.997
YLR111W	YLR111W	hypothetical protein	0.964	0.091	NaN	0.831	0.941	0.975	0.996	0.795	0.968	0.934	0.45	0.769	0.333	0.997
YLR112W	YLR112W	hypothetical protein	0.964	0.031	NaN	0.857	0.962	0.994	0.997	0.149	0.573	0.839	0.51	0.89	0.126	0.958
YLR113W	HOG1	ser/thr protein kinase of MAP kinase (MAPK) family	0.855	0.274	0.715	0.441	0.561	0.749	0.969	0.627	0.877	0.681	0.37	0.569	NaN	0.901
YLR114C	EFR4	similarity to C.elegans hypothetical protein and YOR054c	0.549	0.756	0.689	0.574	0.52	0.798	0.576	0.645	0.803	0.767	0.837	0.656	0.894	0.751
YLR115W	CFT2	"cleavage and polyadenylation specificity factor, part of CF II"	0.549	0.756	0.689	0.574	0.52	0.798	0.576	0.645	0.803	0.767	0.837	0.656	0.894	0.751
YLR116W	MSL5	branch point bridging protein	0.074	0.568	0.284	0.732	0.684	0.705	0.297	0.638	0.601	0.375	0.845	0.826	0.895	0.432
